,ENSG00000207867.1,ENSG00000021355.12,ENSG00000265383.1,ENSG00000206805.1,ENSG00000251815.1,ENSG00000235961.5,ENSG00000251704.1,ENSG00000207861.1,ENSG00000206665.1,ENSG00000163914.4,ENSG00000146215.13
ENSG00000207867.1,0.0,11.0,7.0,6.0,12.0,8.0,5.0,8.0,7.0,8.0,9.0
ENSG00000021355.12,11.0,0.0,10.0,12.0,10.0,14.0,9.0,9.0,13.0,14.0,101.0
ENSG00000265383.1,7.0,10.0,0.0,5.0,7.0,8.0,7.0,6.0,6.0,9.0,10.0
ENSG00000206805.1,6.0,12.0,5.0,0.0,6.0,7.0,8.0,6.0,5.0,10.0,13.0
ENSG00000251815.1,12.0,10.0,7.0,6.0,0.0,9.0,6.0,7.0,7.0,10.0,11.0
ENSG00000235961.5,8.0,14.0,8.0,7.0,9.0,0.0,8.0,9.0,9.0,13.0,12.0
ENSG00000251704.1,5.0,9.0,7.0,8.0,6.0,8.0,0.0,6.0,6.0,8.0,10.0
ENSG00000207861.1,8.0,9.0,6.0,6.0,7.0,9.0,6.0,0.0,5.0,10.0,10.0
ENSG00000206665.1,7.0,13.0,6.0,5.0,7.0,9.0,6.0,5.0,0.0,10.0,11.0
ENSG00000163914.4,8.0,14.0,9.0,10.0,10.0,13.0,8.0,10.0,10.0,0.0,13.0
ENSG00000146215.13,9.0,101.0,10.0,13.0,11.0,12.0,10.0,10.0,11.0,13.0,0.0
