,ENSG00000201006.1,ENSG00000110680.12,ENSG00000277986.1,ENSG00000274752.1,ENSG00000264327.2,ENSG00000105141.5,ENSG00000201884.1,ENSG00000197406.7,ENSG00000230667.5,ENSG00000163040.14,ENSG00000124249.6
ENSG00000201006.1,0.0,9.0,6.0,8.0,7.0,9.0,21.0,8.0,9.0,8.0,10.0
ENSG00000110680.12,9.0,0.0,10.0,10.0,11.0,149.0,9.0,13.0,12.0,40.0,13.0
ENSG00000277986.1,6.0,10.0,0.0,7.0,7.0,9.0,6.0,9.0,9.0,9.0,9.0
ENSG00000274752.1,8.0,10.0,7.0,0.0,7.0,11.0,7.0,9.0,10.0,11.0,11.0
ENSG00000264327.2,7.0,11.0,7.0,7.0,0.0,8.0,5.0,8.0,7.0,8.0,11.0
ENSG00000105141.5,9.0,149.0,9.0,11.0,8.0,0.0,9.0,12.0,12.0,117.0,15.0
ENSG00000201884.1,21.0,9.0,6.0,7.0,5.0,9.0,0.0,9.0,9.0,8.0,9.0
ENSG00000197406.7,8.0,13.0,9.0,9.0,8.0,12.0,9.0,0.0,9.0,12.0,13.0
ENSG00000230667.5,9.0,12.0,9.0,10.0,7.0,12.0,9.0,9.0,0.0,11.0,11.0
ENSG00000163040.14,8.0,40.0,9.0,11.0,8.0,117.0,8.0,12.0,11.0,0.0,13.0
ENSG00000124249.6,10.0,13.0,9.0,11.0,11.0,15.0,9.0,13.0,11.0,13.0,0.0
