,ENSG00000215938.2,ENSG00000177047.6,ENSG00000183186.7,ENSG00000263426.2,ENSG00000252942.1,ENSG00000207225.1,ENSG00000199857.1,ENSG00000242855.3,ENSG00000148377.5,ENSG00000176749.8
ENSG00000215938.2,0.0,10.0,9.0,7.0,8.0,7.0,7.0,7.0,10.0,9.0
ENSG00000177047.6,10.0,0.0,11.0,10.0,11.0,9.0,10.0,10.0,12.0,12.0
ENSG00000183186.7,9.0,11.0,0.0,13.0,9.0,9.0,8.0,10.0,12.0,21.0
ENSG00000263426.2,7.0,10.0,13.0,0.0,8.0,7.0,5.0,13.0,17.0,12.0
ENSG00000252942.1,8.0,11.0,9.0,8.0,0.0,6.0,5.0,7.0,10.0,9.0
ENSG00000207225.1,7.0,9.0,9.0,7.0,6.0,0.0,5.0,7.0,10.0,10.0
ENSG00000199857.1,7.0,10.0,8.0,5.0,5.0,5.0,0.0,7.0,9.0,9.0
ENSG00000242855.3,7.0,10.0,10.0,13.0,7.0,7.0,7.0,0.0,15.0,10.0
ENSG00000148377.5,10.0,12.0,12.0,17.0,10.0,10.0,9.0,15.0,0.0,12.0
ENSG00000176749.8,9.0,12.0,21.0,12.0,9.0,10.0,9.0,10.0,12.0,0.0
