,>ENST00000562625.1,>ENST00000415494.1,>ENST00000429766.1,>ENST00000494925.1,>ENST00000441798.1,>ENST00000586584.1,>ENST00000560719.2,>ENST00000508460.1,>ENST00000430667.1,>ENST00000407121.1,>ENST00000432892.2,>ENST00000451349.1,>ENST00000421008.1,>ENST00000434465.2,>ENST00000423610.1,>ENST00000408950.3,>ENST00000436366.1,>ENST00000513375.1,>ENST00000463344.1,>ENST00000560500.1,>ENST00000603433.2,>ENST00000415722.1,>ENST00000608504.1,>ENST00000507570.1,>ENST00000425638.2,>ENST00000415528.1,>ENST00000449887.1,>ENST00000556746.2,>ENST00000526032.1,>ENST00000453217.1,>ENST00000413759.1,>ENST00000451198.2,>ENST00000493351.1,>ENST00000510547.1,>ENST00000619964.1,>ENST00000418249.2,>ENST00000614164.1,>ENST00000605789.1,>ENST00000404414.1,>ENST00000413677.1,>ENST00000621839.1,>ENST00000437724.1,>ENST00000532318.1,>ENST00000445872.2,>ENST00000556608.1,>ENST00000603413.1,>ENST00000596977.1,>ENST00000568135.1,>ENST00000414095.1,>ENST00000565381.2,>ENST00000587688.1,>ENST00000595339.1,>ENST00000405326.1,>ENST00000418852.2,>ENST00000456494.1,>ENST00000533932.1,>ENST00000526860.1,>ENST00000525966.1,>ENST00000427368.1,>ENST00000603392.1,>ENST00000568688.1,>ENST00000441799.1,>ENST00000540463.1,>ENST00000442943.2,>ENST00000506444.1,>ENST00000446944.3
>ENST00000562625.1,0.0,9.0,11.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,11.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,12.0,10.0,11.0,7.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,12.0,12.0,11.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,8.0,11.0,9.0,11.0,10.0,9.0,10.0,9.0,12.0,9.0
>ENST00000415494.1,9.0,0.0,11.0,10.0,11.0,8.0,9.0,9.0,11.0,9.0,11.0,8.0,10.0,10.0,11.0,10.0,10.0,8.0,9.0,13.0,9.0,8.0,13.0,8.0,10.0,11.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,12.0,14.0,13.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,10.0,13.0,9.0,11.0,9.0,10.0,12.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0
>ENST00000429766.1,11.0,11.0,0.0,11.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,12.0,9.0,9.0,12.0,8.0,9.0,12.0,12.0,10.0,9.0,10.0,8.0,11.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,12.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,11.0,12.0,8.0,10.0,7.0,11.0,9.0,8.0,9.0,10.0,9.0,12.0,11.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,10.0
>ENST00000494925.1,10.0,10.0,11.0,0.0,10.0,10.0,10.0,11.0,12.0,11.0,11.0,10.0,13.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,13.0,11.0,10.0,11.0,10.0,10.0,10.0,12.0,11.0,10.0,12.0,10.0,11.0,14.0,11.0,11.0,13.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,11.0,12.0,10.0,13.0,11.0,10.0,11.0,9.0,11.0,10.0,11.0,10.0
>ENST00000441798.1,10.0,11.0,9.0,10.0,0.0,10.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,12.0,8.0,9.0,8.0,10.0,9.0,9.0,12.0,9.0,9.0,10.0,9.0,13.0,11.0,10.0,13.0,10.0,11.0,8.0,9.0,11.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,11.0,8.0,10.0,9.0,8.0,11.0,8.0,8.0,10.0,10.0,11.0,9.0,12.0,9.0
>ENST00000586584.1,8.0,8.0,8.0,10.0,10.0,0.0,7.0,7.0,8.0,8.0,9.0,6.0,7.0,8.0,8.0,8.0,7.0,6.0,6.0,7.0,9.0,9.0,7.0,9.0,7.0,7.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,7.0,10.0,9.0,7.0,9.0,5.0,7.0,9.0,8.0,6.0,8.0,7.0,6.0,12.0,8.0,7.0,8.0,7.0,7.0,9.0,7.0,8.0,8.0,6.0,6.0,7.0,9.0,11.0,7.0,6.0,7.0,11.0,8.0
>ENST00000560719.2,9.0,9.0,9.0,10.0,9.0,7.0,0.0,10.0,9.0,10.0,9.0,7.0,10.0,10.0,9.0,10.0,8.0,8.0,11.0,11.0,10.0,12.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,9.0,10.0,8.0,10.0,10.0,8.0,9.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,11.0,8.0,10.0,9.0,16.0,9.0,8.0
>ENST00000508460.1,9.0,9.0,9.0,11.0,8.0,7.0,10.0,0.0,9.0,8.0,9.0,7.0,10.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,14.0,9.0,9.0,8.0,9.0,11.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0
>ENST00000430667.1,9.0,11.0,9.0,12.0,10.0,8.0,9.0,9.0,0.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,12.0,10.0,9.0,10.0,9.0,11.0,10.0,11.0,10.0,12.0,10.0,8.0,10.0,9.0,10.0,8.0,11.0,9.0,11.0,9.0,9.0,12.0,11.0,10.0,10.0,13.0,10.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,14.0,9.0,12.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0
>ENST00000407121.1,9.0,9.0,8.0,11.0,8.0,8.0,10.0,8.0,9.0,0.0,9.0,8.0,11.0,9.0,8.0,13.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,12.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,11.0,10.0,12.0,11.0,9.0,11.0,9.0,10.0,11.0,9.0,10.0,11.0,10.0,10.0,11.0,9.0,11.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0
