,>ENST00000579993.1,>ENST00000512118.1,>ENST00000510079.2,>ENST00000433132.1,>ENST00000400303.3,>ENST00000412220.1,>ENST00000445368.1,>ENST00000494923.1,>ENST00000396562.2,>ENST00000418219.1,>ENST00000581934.1,>ENST00000418822.1,>ENST00000488906.1,>ENST00000452173.2,>ENST00000439639.2,>ENST00000595306.1,>ENST00000421658.2,>ENST00000554198.2,>ENST00000505191.2,>ENST00000424673.1,>ENST00000430910.1,>ENST00000519384.1,>ENST00000427989.3,>ENST00000510575.1
>ENST00000579993.1,0.0,10.0,8.0,10.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0
>ENST00000512118.1,10.0,0.0,10.0,9.0,9.0,10.0,11.0,12.0,10.0,10.0,9.0,11.0,11.0,10.0,8.0,12.0,8.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0
>ENST00000510079.2,8.0,10.0,0.0,11.0,9.0,9.0,12.0,10.0,10.0,11.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0,12.0,9.0,10.0,9.0,10.0,10.0,11.0
>ENST00000433132.1,10.0,9.0,11.0,0.0,7.0,9.0,10.0,9.0,9.0,7.0,9.0,10.0,11.0,8.0,9.0,10.0,7.0,10.0,7.0,9.0,9.0,8.0,10.0,11.0
>ENST00000400303.3,8.0,9.0,9.0,7.0,0.0,9.0,11.0,10.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,13.0,7.0,8.0,351.0,8.0,8.0,11.0,11.0,9.0
>ENST00000412220.1,8.0,10.0,9.0,9.0,9.0,0.0,9.0,12.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,9.0,10.0,13.0,10.0
>ENST00000445368.1,8.0,11.0,12.0,10.0,11.0,9.0,0.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,8.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0
>ENST00000494923.1,8.0,12.0,10.0,9.0,10.0,12.0,10.0,0.0,7.0,7.0,7.0,8.0,9.0,9.0,7.0,9.0,8.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0
>ENST00000396562.2,8.0,10.0,10.0,9.0,8.0,7.0,8.0,7.0,0.0,11.0,10.0,9.0,9.0,7.0,9.0,12.0,7.0,8.0,10.0,8.0,9.0,10.0,9.0,8.0
>ENST00000418219.1,7.0,10.0,11.0,7.0,8.0,8.0,9.0,7.0,11.0,0.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0
>ENST00000581934.1,8.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0,10.0,8.0,0.0,8.0,9.0,8.0,10.0,13.0,7.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0
>ENST00000418822.1,9.0,11.0,10.0,10.0,10.0,8.0,10.0,8.0,9.0,8.0,8.0,0.0,10.0,8.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0
>ENST00000488906.1,8.0,11.0,8.0,11.0,9.0,7.0,10.0,9.0,9.0,8.0,9.0,10.0,0.0,9.0,10.0,11.0,9.0,12.0,10.0,8.0,9.0,10.0,10.0,11.0
>ENST00000452173.2,9.0,10.0,10.0,8.0,8.0,9.0,11.0,9.0,7.0,8.0,8.0,8.0,9.0,0.0,8.0,10.0,9.0,8.0,10.0,9.0,7.0,8.0,9.0,9.0
>ENST00000439639.2,8.0,8.0,10.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,10.0,11.0,10.0,8.0,0.0,8.0,8.0,7.0,8.0,11.0,9.0,10.0,9.0,11.0
>ENST00000595306.1,9.0,12.0,10.0,10.0,13.0,9.0,10.0,9.0,12.0,10.0,13.0,11.0,11.0,10.0,8.0,0.0,9.0,10.0,9.0,8.0,10.0,9.0,10.0,10.0
>ENST00000421658.2,7.0,8.0,9.0,7.0,7.0,9.0,11.0,8.0,7.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,0.0,9.0,7.0,7.0,9.0,10.0,8.0,9.0
>ENST00000554198.2,9.0,10.0,12.0,10.0,8.0,11.0,11.0,9.0,8.0,9.0,8.0,10.0,12.0,8.0,7.0,10.0,9.0,0.0,11.0,10.0,9.0,11.0,12.0,9.0
>ENST00000505191.2,8.0,11.0,9.0,7.0,351.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,9.0,7.0,11.0,0.0,9.0,9.0,10.0,10.0,9.0
>ENST00000424673.1,10.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,8.0,9.0,11.0,8.0,7.0,10.0,9.0,0.0,9.0,7.0,12.0,11.0
>ENST00000430910.1,9.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,9.0,9.0,9.0,0.0,8.0,12.0,9.0
>ENST00000519384.1,8.0,9.0,10.0,8.0,11.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,10.0,7.0,8.0,0.0,10.0,10.0
>ENST00000427989.3,10.0,10.0,10.0,10.0,11.0,13.0,10.0,9.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,8.0,12.0,10.0,12.0,12.0,10.0,0.0,11.0
>ENST00000510575.1,8.0,10.0,11.0,11.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,11.0,9.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,0.0
