,>ENST00000398760.4,>ENST00000439127.6,>ENST00000438304.1,>ENST00000582714.1,>ENST00000517602.2,>ENST00000416175.1,>ENST00000480264.1,>ENST00000519666.1,>ENST00000548078.1,>ENST00000422187.2,ENSG00000277678.1,>ENST00000435712.1,>ENST00000451332.2,>ENST00000415190.1,>ENST00000312710.6,>ENST00000558038.2,>ENST00000523223.1,>ENST00000570311.1,>ENST00000558149.1,>ENST00000581889.1,>ENST00000401879.2,>ENST00000436045.1,>ENST00000529541.1,>ENST00000531603.1,>ENST00000457194.6,>ENST00000412556.1,ENSG00000207127.1,>ENST00000441415.1,>ENST00000603096.1,>ENST00000444546.1,>ENST00000428947.1,>ENST00000505935.2,>ENST00000429033.1,>ENST00000420212.2,>ENST00000511281.1,>ENST00000402967.1
>ENST00000398760.4,0.0,12.0,10.0,9.0,8.0,9.0,12.0,11.0,10.0,10.0,8.0,11.0,8.0,11.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,9.0,14.0,10.0,10.0,11.0,9.0,9.0,7.0,10.0,10.0,9.0,9.0,11.0,8.0,9.0
>ENST00000439127.6,12.0,0.0,11.0,14.0,9.0,9.0,11.0,10.0,12.0,10.0,7.0,10.0,9.0,8.0,9.0,10.0,10.0,12.0,10.0,10.0,10.0,9.0,11.0,8.0,11.0,10.0,9.0,10.0,9.0,13.0,11.0,12.0,10.0,11.0,10.0,10.0
>ENST00000438304.1,10.0,11.0,0.0,9.0,10.0,9.0,11.0,11.0,10.0,11.0,8.0,12.0,9.0,10.0,9.0,12.0,11.0,10.0,10.0,8.0,10.0,13.0,11.0,8.0,11.0,9.0,12.0,10.0,10.0,10.0,9.0,12.0,12.0,13.0,10.0,10.0
>ENST00000582714.1,9.0,14.0,9.0,0.0,9.0,9.0,11.0,9.0,8.0,10.0,7.0,10.0,8.0,9.0,8.0,10.0,9.0,10.0,9.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0,10.0,7.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0
>ENST00000517602.2,8.0,9.0,10.0,9.0,0.0,7.0,8.0,9.0,7.0,8.0,7.0,9.0,9.0,10.0,8.0,13.0,8.0,12.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,7.0,11.0,8.0,10.0,8.0,10.0,13.0,10.0,12.0,9.0
>ENST00000416175.1,9.0,9.0,9.0,9.0,7.0,0.0,9.0,8.0,7.0,11.0,8.0,10.0,11.0,9.0,9.0,11.0,9.0,10.0,10.0,7.0,10.0,9.0,10.0,11.0,11.0,9.0,7.0,9.0,8.0,9.0,8.0,11.0,12.0,11.0,10.0,9.0
>ENST00000480264.1,12.0,11.0,11.0,11.0,8.0,9.0,0.0,12.0,11.0,10.0,8.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0,7.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0
>ENST00000519666.1,11.0,10.0,11.0,9.0,9.0,8.0,12.0,0.0,9.0,10.0,8.0,12.0,9.0,10.0,9.0,10.0,10.0,13.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,9.0,7.0,9.0,8.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0
>ENST00000548078.1,10.0,12.0,10.0,8.0,7.0,7.0,11.0,9.0,0.0,9.0,9.0,9.0,8.0,14.0,8.0,8.0,8.0,10.0,7.0,9.0,10.0,9.0,8.0,8.0,12.0,8.0,6.0,9.0,7.0,8.0,9.0,8.0,9.0,11.0,9.0,9.0
>ENST00000422187.2,10.0,10.0,11.0,10.0,8.0,11.0,10.0,10.0,9.0,0.0,10.0,13.0,10.0,12.0,11.0,12.0,10.0,11.0,11.0,8.0,11.0,10.0,11.0,9.0,12.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0,13.0,11.0,13.0
