,ENSG00000207119.2,ENSG00000086506.2,ENSG00000185758.7,ENSG00000166816.13,ENSG00000240823.3,ENSG00000178567.7,ENSG00000202142.1,ENSG00000202429.1,ENSG00000212586.1,ENSG00000212569.1,ENSG00000207825.1,ENSG00000241983.3
ENSG00000207119.2,0.0,7.0,9.0,10.0,8.0,10.0,7.0,7.0,8.0,7.0,6.0,7.0
ENSG00000086506.2,7.0,0.0,13.0,15.0,8.0,11.0,6.0,7.0,7.0,7.0,6.0,8.0
ENSG00000185758.7,9.0,13.0,0.0,11.0,10.0,11.0,7.0,8.0,7.0,7.0,8.0,13.0
ENSG00000166816.13,10.0,15.0,11.0,0.0,19.0,13.0,8.0,8.0,10.0,11.0,8.0,18.0
ENSG00000240823.3,8.0,8.0,10.0,19.0,0.0,10.0,8.0,7.0,8.0,8.0,6.0,36.0
ENSG00000178567.7,10.0,11.0,11.0,13.0,10.0,0.0,9.0,13.0,10.0,10.0,11.0,11.0
ENSG00000202142.1,7.0,6.0,7.0,8.0,8.0,9.0,0.0,8.0,5.0,6.0,9.0,6.0
ENSG00000202429.1,7.0,7.0,8.0,8.0,7.0,13.0,8.0,0.0,9.0,9.0,10.0,7.0
ENSG00000212586.1,8.0,7.0,7.0,10.0,8.0,10.0,5.0,9.0,0.0,6.0,7.0,6.0
ENSG00000212569.1,7.0,7.0,7.0,11.0,8.0,10.0,6.0,9.0,6.0,0.0,7.0,7.0
ENSG00000207825.1,6.0,6.0,8.0,8.0,6.0,11.0,9.0,10.0,7.0,7.0,0.0,6.0
ENSG00000241983.3,7.0,8.0,13.0,18.0,36.0,11.0,6.0,7.0,6.0,7.0,6.0,0.0
