,>ENST00000442490.3,>ENST00000612100.1,>ENST00000344739.5,>ENST00000537929.1,>ENST00000551714.1,>ENST00000451972.1,>ENST00000520730.1,>ENST00000563891.1,>ENST00000455254.1,>ENST00000446487.1,>ENST00000511296.1,>ENST00000598153.1,>ENST00000415539.1,>ENST00000407493.3,>ENST00000416077.1,>ENST00000578806.1,>ENST00000594073.1,>ENST00000491262.1,>ENST00000459863.1,>ENST00000507366.1,>ENST00000478302.1,>ENST00000420263.1,>ENST00000603736.1,>ENST00000425821.2,>ENST00000521192.2,>ENST00000532228.1,>ENST00000632801.1
>ENST00000442490.3,0.0,11.0,10.0,8.0,10.0,7.0,8.0,10.0,10.0,8.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,7.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0
>ENST00000612100.1,11.0,0.0,10.0,10.0,11.0,9.0,11.0,9.0,11.0,9.0,8.0,13.0,11.0,12.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0
>ENST00000344739.5,10.0,10.0,0.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0,13.0,10.0,11.0,9.0,10.0,10.0,8.0,9.0,11.0,11.0,10.0,12.0,12.0,10.0,10.0,9.0
>ENST00000537929.1,8.0,10.0,10.0,0.0,11.0,7.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,9.0,11.0,8.0
>ENST00000551714.1,10.0,11.0,11.0,11.0,0.0,10.0,10.0,10.0,9.0,13.0,9.0,11.0,9.0,8.0,10.0,11.0,8.0,12.0,9.0,12.0,10.0,10.0,10.0,9.0,11.0,13.0,7.0
>ENST00000451972.1,7.0,9.0,9.0,7.0,10.0,0.0,7.0,10.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,7.0,8.0,11.0,9.0,8.0,9.0,9.0,8.0,7.0
>ENST00000520730.1,8.0,11.0,10.0,8.0,10.0,7.0,0.0,8.0,9.0,10.0,9.0,12.0,7.0,9.0,9.0,9.0,7.0,7.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,10.0,8.0
>ENST00000563891.1,10.0,9.0,10.0,9.0,10.0,10.0,8.0,0.0,10.0,10.0,12.0,9.0,10.0,9.0,8.0,8.0,9.0,11.0,8.0,10.0,11.0,10.0,8.0,9.0,10.0,10.0,8.0
>ENST00000455254.1,10.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,0.0,11.0,8.0,10.0,8.0,10.0,10.0,10.0,9.0,14.0,11.0,10.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0
>ENST00000446487.1,8.0,9.0,10.0,9.0,13.0,8.0,10.0,10.0,11.0,0.0,8.0,9.0,11.0,9.0,8.0,9.0,11.0,8.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0
>ENST00000511296.1,9.0,8.0,9.0,9.0,9.0,8.0,9.0,12.0,8.0,8.0,0.0,9.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,10.0,11.0,9.0,8.0,9.0,12.0
>ENST00000598153.1,10.0,13.0,13.0,10.0,11.0,9.0,12.0,9.0,10.0,9.0,9.0,0.0,9.0,12.0,10.0,10.0,11.0,10.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,11.0,9.0
