,>ENST00000435239.1,>ENST00000505898.1,>ENST00000511144.2,>ENST00000603917.1,>ENST00000442675.1,>ENST00000406327.2,>ENST00000524645.1,>ENST00000455668.1,>ENST00000395253.3,>ENST00000449770.1,>ENST00000582896.1,>ENST00000572227.1,>ENST00000379462.3,>ENST00000460281.1,>ENST00000599419.1,>ENST00000428866.1,>ENST00000425466.1
>ENST00000435239.1,0.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,10.0,11.0
>ENST00000505898.1,9.0,0.0,9.0,11.0,8.0,11.0,10.0,9.0,11.0,10.0,6.0,11.0,8.0,9.0,10.0,9.0,9.0
>ENST00000511144.2,10.0,9.0,0.0,10.0,12.0,11.0,10.0,14.0,13.0,9.0,9.0,9.0,11.0,9.0,11.0,11.0,11.0
>ENST00000603917.1,10.0,11.0,10.0,0.0,9.0,9.0,10.0,10.0,9.0,10.0,7.0,9.0,10.0,10.0,9.0,10.0,9.0
>ENST00000442675.1,10.0,8.0,12.0,9.0,0.0,8.0,9.0,8.0,11.0,9.0,13.0,9.0,10.0,7.0,10.0,11.0,8.0
>ENST00000406327.2,9.0,11.0,11.0,9.0,8.0,0.0,9.0,11.0,10.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,13.0
>ENST00000524645.1,10.0,10.0,10.0,10.0,9.0,9.0,0.0,10.0,11.0,9.0,8.0,10.0,12.0,9.0,9.0,10.0,12.0
>ENST00000455668.1,9.0,9.0,14.0,10.0,8.0,11.0,10.0,0.0,10.0,8.0,7.0,9.0,10.0,7.0,8.0,9.0,10.0
>ENST00000395253.3,9.0,11.0,13.0,9.0,11.0,10.0,11.0,10.0,0.0,9.0,7.0,12.0,9.0,9.0,9.0,11.0,10.0
>ENST00000449770.1,9.0,10.0,9.0,10.0,9.0,11.0,9.0,8.0,9.0,0.0,7.0,9.0,8.0,9.0,7.0,8.0,9.0
>ENST00000582896.1,10.0,6.0,9.0,7.0,13.0,10.0,8.0,7.0,7.0,7.0,0.0,8.0,9.0,6.0,6.0,8.0,9.0
>ENST00000572227.1,9.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0,12.0,9.0,8.0,0.0,9.0,8.0,12.0,9.0,10.0
>ENST00000379462.3,10.0,8.0,11.0,10.0,10.0,9.0,12.0,10.0,9.0,8.0,9.0,9.0,0.0,9.0,8.0,9.0,9.0
>ENST00000460281.1,8.0,9.0,9.0,10.0,7.0,9.0,9.0,7.0,9.0,9.0,6.0,8.0,9.0,0.0,7.0,9.0,9.0
>ENST00000599419.1,10.0,10.0,11.0,9.0,10.0,10.0,9.0,8.0,9.0,7.0,6.0,12.0,8.0,7.0,0.0,10.0,10.0
>ENST00000428866.1,10.0,9.0,11.0,10.0,11.0,10.0,10.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0,0.0,9.0
>ENST00000425466.1,11.0,9.0,11.0,9.0,8.0,13.0,12.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,0.0
