,ENSG00000212280.1,ENSG00000145358.6,ENSG00000126749.14,ENSG00000196866.2,ENSG00000198183.11,ENSG00000181733.2,ENSG00000243125.3,ENSG00000183798.4,ENSG00000185385.3,ENSG00000243370.3,ENSG00000200246.1,ENSG00000252112.1
ENSG00000212280.1,0.0,9.0,9.0,7.0,10.0,9.0,6.0,11.0,8.0,8.0,37.0,6.0
ENSG00000145358.6,9.0,0.0,14.0,9.0,13.0,11.0,10.0,12.0,11.0,10.0,9.0,9.0
ENSG00000126749.14,9.0,14.0,0.0,10.0,15.0,11.0,17.0,84.0,12.0,29.0,10.0,10.0
ENSG00000196866.2,7.0,9.0,10.0,0.0,10.0,9.0,9.0,11.0,9.0,8.0,7.0,8.0
ENSG00000198183.11,10.0,13.0,15.0,10.0,0.0,11.0,12.0,13.0,12.0,11.0,11.0,10.0
ENSG00000181733.2,9.0,11.0,11.0,9.0,11.0,0.0,10.0,12.0,23.0,10.0,9.0,7.0
ENSG00000243125.3,6.0,10.0,17.0,9.0,12.0,10.0,0.0,21.0,10.0,21.0,8.0,6.0
ENSG00000183798.4,11.0,12.0,84.0,11.0,13.0,12.0,21.0,0.0,13.0,25.0,10.0,11.0
ENSG00000185385.3,8.0,11.0,12.0,9.0,12.0,23.0,10.0,13.0,0.0,10.0,10.0,8.0
ENSG00000243370.3,8.0,10.0,29.0,8.0,11.0,10.0,21.0,25.0,10.0,0.0,8.0,7.0
ENSG00000200246.1,37.0,9.0,10.0,7.0,11.0,9.0,8.0,10.0,10.0,8.0,0.0,6.0
ENSG00000252112.1,6.0,9.0,10.0,8.0,10.0,7.0,6.0,11.0,8.0,7.0,6.0,0.0
