,ENSG00000212336.1,ENSG00000204703.4,ENSG00000252685.1,ENSG00000200579.1,ENSG00000211728.2,ENSG00000206975.1,ENSG00000221724.1,ENSG00000221085.1,ENSG00000252362.1,ENSG00000207340.1,ENSG00000206848.1,ENSG00000252601.1,ENSG00000208006.1
ENSG00000212336.1,0.0,14.0,7.0,9.0,7.0,6.0,5.0,8.0,6.0,7.0,6.0,6.0,7.0
ENSG00000204703.4,14.0,0.0,7.0,8.0,9.0,8.0,8.0,8.0,7.0,10.0,8.0,8.0,11.0
ENSG00000252685.1,7.0,7.0,0.0,9.0,8.0,13.0,7.0,6.0,12.0,7.0,12.0,9.0,8.0
ENSG00000200579.1,9.0,8.0,9.0,0.0,7.0,7.0,6.0,5.0,6.0,7.0,7.0,5.0,6.0
ENSG00000211728.2,7.0,9.0,8.0,7.0,0.0,8.0,6.0,9.0,7.0,9.0,7.0,8.0,8.0
ENSG00000206975.1,6.0,8.0,13.0,7.0,8.0,0.0,6.0,7.0,31.0,6.0,59.0,7.0,8.0
ENSG00000221724.1,5.0,8.0,7.0,6.0,6.0,6.0,0.0,5.0,6.0,6.0,6.0,6.0,6.0
ENSG00000221085.1,8.0,8.0,6.0,5.0,9.0,7.0,5.0,0.0,7.0,8.0,7.0,8.0,9.0
ENSG00000252362.1,6.0,7.0,12.0,6.0,7.0,31.0,6.0,7.0,0.0,5.0,27.0,6.0,8.0
ENSG00000207340.1,7.0,10.0,7.0,7.0,9.0,6.0,6.0,8.0,5.0,0.0,5.0,10.0,7.0
ENSG00000206848.1,6.0,8.0,12.0,7.0,7.0,59.0,6.0,7.0,27.0,5.0,0.0,7.0,8.0
ENSG00000252601.1,6.0,8.0,9.0,5.0,8.0,7.0,6.0,8.0,6.0,10.0,7.0,0.0,7.0
ENSG00000208006.1,7.0,11.0,8.0,6.0,8.0,8.0,6.0,9.0,8.0,7.0,8.0,7.0,0.0
