,>ENST00000509766.1,>ENST00000558410.1,>ENST00000578053.2,>ENST00000567416.1,>ENST00000438019.1,>ENST00000441503.1,>ENST00000465359.1,>ENST00000432491.1,>ENST00000354915.3,>ENST00000615639.1,>ENST00000471365.1,>ENST00000550884.2,ENSG00000265669.1,>ENST00000423609.1,>ENST00000414296.2,>ENST00000447583.2,>ENST00000558556.5,>ENST00000612578.1,>ENST00000571053.1,>ENST00000430932.1,>ENST00000441321.1,>ENST00000542775.1,>ENST00000559548.2,>ENST00000552179.1,>ENST00000441624.1,>ENST00000586404.1,>ENST00000588916.1,>ENST00000515379.1,>ENST00000607497.1,>ENST00000584728.1,>ENST00000532111.1
>ENST00000509766.1,0.0,9.0,8.0,9.0,12.0,8.0,13.0,10.0,8.0,11.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,7.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,12.0,10.0,10.0,8.0,9.0,9.0
>ENST00000558410.1,9.0,0.0,13.0,10.0,8.0,8.0,10.0,9.0,10.0,13.0,12.0,11.0,7.0,11.0,11.0,11.0,11.0,7.0,10.0,9.0,10.0,10.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0
>ENST00000578053.2,8.0,13.0,0.0,9.0,9.0,10.0,10.0,11.0,9.0,7.0,11.0,9.0,7.0,9.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,10.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,8.0,12.0
>ENST00000567416.1,9.0,10.0,9.0,0.0,9.0,9.0,9.0,10.0,8.0,8.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,12.0,8.0,8.0,11.0,10.0,18.0,8.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0
>ENST00000438019.1,12.0,8.0,9.0,9.0,0.0,14.0,9.0,9.0,8.0,8.0,10.0,10.0,7.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,12.0,9.0
>ENST00000441503.1,8.0,8.0,10.0,9.0,14.0,0.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,12.0,8.0,9.0,8.0,7.0,7.0,8.0,11.0,9.0,9.0,7.0,11.0,11.0,9.0,9.0,9.0,9.0
>ENST00000465359.1,13.0,10.0,10.0,9.0,9.0,9.0,0.0,9.0,8.0,9.0,9.0,10.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,7.0,9.0,10.0,13.0,8.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0
>ENST00000432491.1,10.0,9.0,11.0,10.0,9.0,8.0,9.0,0.0,10.0,11.0,10.0,12.0,7.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,11.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0
>ENST00000354915.3,8.0,10.0,9.0,8.0,8.0,8.0,8.0,10.0,0.0,9.0,9.0,10.0,5.0,10.0,8.0,9.0,9.0,7.0,8.0,9.0,8.0,10.0,11.0,11.0,8.0,10.0,8.0,9.0,10.0,8.0,10.0
>ENST00000615639.1,11.0,13.0,7.0,8.0,8.0,10.0,9.0,11.0,9.0,0.0,9.0,10.0,7.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,7.0,9.0,8.0,9.0,11.0,9.0,8.0,10.0,10.0,9.0,9.0
>ENST00000471365.1,10.0,12.0,11.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,0.0,11.0,9.0,10.0,11.0,10.0,9.0,8.0,10.0,8.0,9.0,10.0,11.0,9.0,9.0,8.0,9.0,12.0,10.0,9.0,10.0
>ENST00000550884.2,10.0,11.0,9.0,10.0,10.0,9.0,10.0,12.0,10.0,10.0,11.0,0.0,6.0,11.0,12.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0
ENSG00000265669.1,8.0,7.0,7.0,8.0,7.0,9.0,8.0,7.0,5.0,7.0,9.0,6.0,0.0,7.0,10.0,11.0,7.0,7.0,6.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0
>ENST00000423609.1,9.0,11.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,11.0,7.0,0.0,10.0,10.0,12.0,9.0,8.0,10.0,11.0,10.0,9.0,8.0,11.0,8.0,9.0,10.0,9.0,8.0,9.0
>ENST00000414296.2,9.0,11.0,10.0,9.0,9.0,12.0,9.0,10.0,8.0,9.0,11.0,12.0,10.0,10.0,0.0,11.0,11.0,9.0,9.0,9.0,11.0,13.0,10.0,10.0,10.0,9.0,9.0,11.0,11.0,10.0,10.0
>ENST00000447583.2,10.0,11.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,11.0,10.0,10.0,11.0,10.0,11.0,0.0,11.0,9.0,8.0,8.0,11.0,12.0,10.0,8.0,8.0,8.0,10.0,11.0,11.0,10.0,11.0
>ENST00000558556.5,10.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,7.0,12.0,11.0,11.0,0.0,11.0,9.0,8.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,12.0
>ENST00000612578.1,7.0,7.0,9.0,12.0,8.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,7.0,9.0,9.0,9.0,11.0,0.0,7.0,7.0,7.0,9.0,8.0,7.0,7.0,8.0,10.0,8.0,8.0,8.0,8.0
