,>ENST00000553021.1,>ENST00000610687.1,>ENST00000450381.1,>ENST00000604513.1,>ENST00000426289.2,>ENST00000511396.1,>ENST00000456468.1,>ENST00000614692.1,>ENST00000442962.2,>ENST00000515857.1,>ENST00000553854.1,>ENST00000426911.2,>ENST00000536923.1,>ENST00000453662.6,>ENST00000541494.1,>ENST00000504864.6,>ENST00000425197.2,>ENST00000559425.1,>ENST00000440965.1,>ENST00000457493.1,>ENST00000411837.1,>ENST00000466718.1,>ENST00000511389.1,>ENST00000576835.1
>ENST00000553021.1,0.0,8.0,10.0,9.0,8.0,9.0,11.0,11.0,11.0,9.0,10.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0,9.0
>ENST00000610687.1,8.0,0.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,8.0,10.0,7.0,11.0,10.0,10.0,11.0,9.0,8.0,9.0,7.0,7.0
>ENST00000450381.1,10.0,8.0,0.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,8.0,12.0,8.0,8.0,9.0,9.0,9.0
>ENST00000604513.1,9.0,8.0,9.0,0.0,8.0,8.0,10.0,8.0,10.0,8.0,10.0,10.0,9.0,10.0,7.0,10.0,8.0,10.0,11.0,9.0,8.0,9.0,8.0,9.0
>ENST00000426289.2,8.0,8.0,8.0,8.0,0.0,8.0,10.0,11.0,10.0,8.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,10.0,11.0,9.0,8.0,7.0,8.0,8.0
>ENST00000511396.1,9.0,9.0,8.0,8.0,8.0,0.0,10.0,9.0,10.0,7.0,10.0,9.0,8.0,11.0,8.0,10.0,13.0,9.0,10.0,11.0,9.0,9.0,8.0,9.0
>ENST00000456468.1,11.0,8.0,9.0,10.0,10.0,10.0,0.0,9.0,9.0,11.0,10.0,12.0,9.0,11.0,7.0,12.0,9.0,372.0,10.0,11.0,9.0,9.0,8.0,9.0
>ENST00000614692.1,11.0,9.0,9.0,8.0,11.0,9.0,9.0,0.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,12.0,9.0,10.0,13.0,10.0,8.0,9.0,10.0,10.0
>ENST00000442962.2,11.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,0.0,9.0,12.0,11.0,9.0,10.0,8.0,11.0,9.0,9.0,10.0,12.0,9.0,10.0,10.0,10.0
>ENST00000515857.1,9.0,8.0,9.0,8.0,8.0,7.0,11.0,8.0,9.0,0.0,9.0,13.0,8.0,10.0,7.0,14.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0
>ENST00000553854.1,10.0,9.0,9.0,10.0,8.0,10.0,10.0,9.0,12.0,9.0,0.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0
>ENST00000426911.2,12.0,10.0,9.0,10.0,9.0,9.0,12.0,9.0,11.0,13.0,10.0,0.0,10.0,13.0,9.0,11.0,14.0,10.0,13.0,10.0,10.0,10.0,10.0,10.0
>ENST00000536923.1,11.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,0.0,9.0,8.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,8.0
>ENST00000453662.6,11.0,10.0,10.0,10.0,8.0,11.0,11.0,9.0,10.0,10.0,9.0,13.0,9.0,0.0,9.0,12.0,11.0,11.0,12.0,10.0,10.0,11.0,9.0,9.0
>ENST00000541494.1,11.0,7.0,8.0,7.0,7.0,8.0,7.0,9.0,8.0,7.0,9.0,9.0,8.0,9.0,0.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,8.0,7.0
>ENST00000504864.6,11.0,11.0,10.0,10.0,9.0,10.0,12.0,12.0,11.0,14.0,11.0,11.0,11.0,12.0,9.0,0.0,10.0,14.0,11.0,11.0,10.0,10.0,10.0,10.0
>ENST00000425197.2,11.0,10.0,10.0,8.0,8.0,13.0,9.0,9.0,9.0,9.0,9.0,14.0,9.0,11.0,10.0,10.0,0.0,9.0,11.0,9.0,8.0,9.0,8.0,9.0
>ENST00000559425.1,11.0,10.0,8.0,10.0,10.0,9.0,372.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0,8.0,14.0,9.0,0.0,9.0,11.0,9.0,8.0,9.0,9.0
>ENST00000440965.1,10.0,11.0,12.0,11.0,11.0,10.0,10.0,13.0,10.0,9.0,10.0,13.0,10.0,12.0,9.0,11.0,11.0,9.0,0.0,10.0,10.0,11.0,10.0,8.0
>ENST00000457493.1,10.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,12.0,10.0,10.0,10.0,9.0,10.0,8.0,11.0,9.0,11.0,10.0,0.0,8.0,9.0,11.0,8.0
